"Marital.status_[-Inf,1.5)","Marital.status_[1.5, Inf]","Application.mode_[-Inf,1.5)","Application.mode_[1.5,8.5)","Application.mode_[22,42.5)","Application.mode_[42.5, Inf]","Application.mode_[8.5,22)","Application.order_[-Inf,1.5)","Application.order_[1.5, Inf]","Course_[-Inf,9.1e+03)","Course_[9.12e+03,9.19e+03)","Course_[9.19e+03,9.25e+03)","Course_[9.1e+03,9.12e+03)","Course_[9.25e+03,9.38e+03)","Course_[9.38e+03,9.53e+03)","Course_[9.53e+03,9.81e+03)","Course_[9.81e+03, Inf]","Previous.qualification_[-Inf,1.5)","Previous.qualification_[1.5,28.5)","Previous.qualification_[28.5, Inf]","Previous.qualification..grade._[-Inf,120.5)","Previous.qualification..grade._[120.5,133.1)","Previous.qualification..grade._[133.1,133.4)","Previous.qualification..grade._[133.4, Inf]","Mother.s.qualification_[-Inf,26.5)","Mother.s.qualification_[26.5,36.5)","Mother.s.qualification_[36.5,37.5)","Mother.s.qualification_[37.5, Inf]","Mother.s.occupation_[-Inf,0.5)","Mother.s.occupation_[0.5,50)","Mother.s.occupation_[110, Inf]","Mother.s.occupation_[50,110)","Father.s.occupation_[-Inf,0.5)","Father.s.occupation_[0.5,50)","Father.s.occupation_[118, Inf]","Father.s.occupation_[50,118)","Admission.grade_[-Inf,112)","Admission.grade_[112, Inf]","Displaced_[-Inf,0.5)","Displaced_[0.5, Inf]","Debtor_[-Inf,0.5)","Debtor_[0.5, Inf]","Tuition.fees.up.to.date_[-Inf,0.5)","Tuition.fees.up.to.date_[0.5, Inf]","Gender_[-Inf,0.5)","Gender_[0.5, Inf]","Scholarship.holder_[-Inf,0.5)","Scholarship.holder_[0.5, Inf]","Age.at.enrollment_[-Inf,19.5)","Age.at.enrollment_[19.5,22.5)","Age.at.enrollment_[22.5, Inf]","International_[-Inf, Inf]","Curricular.units.1st.sem..enrolled._[-Inf,5.5)","Curricular.units.1st.sem..enrolled._[5.5,7.5)","Curricular.units.1st.sem..enrolled._[7.5,8.5)","Curricular.units.1st.sem..enrolled._[8.5, Inf]","Curricular.units.1st.sem..evaluations._[-Inf,4.5)","Curricular.units.1st.sem..evaluations._[20.5, Inf]","Curricular.units.1st.sem..evaluations._[4.5,5.5)","Curricular.units.1st.sem..evaluations._[5.5,8.5)","Curricular.units.1st.sem..evaluations._[8.5,20.5)","Curricular.units.1st.sem..approved._[-Inf,0.5)","Curricular.units.1st.sem..approved._[0.5,2.5)","Curricular.units.1st.sem..approved._[2.5,3.5)","Curricular.units.1st.sem..approved._[3.5,4.5)","Curricular.units.1st.sem..approved._[4.5,5.5)","Curricular.units.1st.sem..approved._[5.5, Inf]","Curricular.units.1st.sem..grade._[-Inf,9.9)","Curricular.units.1st.sem..grade._[10.1,10.5)","Curricular.units.1st.sem..grade._[10.5,12.3)","Curricular.units.1st.sem..grade._[12.3,13.3)","Curricular.units.1st.sem..grade._[13.3, Inf]","Curricular.units.1st.sem..grade._[9.9,10.1)","Curricular.units.1st.sem..without.evaluations._[-Inf,0.5)","Curricular.units.1st.sem..without.evaluations._[0.5, Inf]","Curricular.units.2nd.sem..enrolled._[-Inf,5.5)","Curricular.units.2nd.sem..enrolled._[5.5,7.5)","Curricular.units.2nd.sem..enrolled._[7.5, Inf]","Curricular.units.2nd.sem..evaluations._[-Inf,4.5)","Curricular.units.2nd.sem..evaluations._[4.5,5.5)","Curricular.units.2nd.sem..evaluations._[5.5,8.5)","Curricular.units.2nd.sem..evaluations._[8.5,9.5)","Curricular.units.2nd.sem..evaluations._[9.5, Inf]","Curricular.units.2nd.sem..approved._[-Inf,0.5)","Curricular.units.2nd.sem..approved._[0.5,2.5)","Curricular.units.2nd.sem..approved._[2.5,3.5)","Curricular.units.2nd.sem..approved._[3.5,4.5)","Curricular.units.2nd.sem..approved._[4.5,5.5)","Curricular.units.2nd.sem..approved._[5.5, Inf]","Curricular.units.2nd.sem..grade._[-Inf,5)","Curricular.units.2nd.sem..grade._[11.1,12.1)","Curricular.units.2nd.sem..grade._[12.1,12.5)","Curricular.units.2nd.sem..grade._[12.5,14)","Curricular.units.2nd.sem..grade._[14, Inf]","Curricular.units.2nd.sem..grade._[5,11.1)","Curricular.units.2nd.sem..without.evaluations._[-Inf,1.5)","Curricular.units.2nd.sem..without.evaluations._[1.5, Inf]",target
1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3
1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3
0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,3
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3
1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3
